window_start,packet_count,bytes_per_second,unique_protocols,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,avg_packet_size,is_baseline
1741695960,334264,5892223.133333334,0,44,48,228,227,1057.647212981356,True
1741696020,2983,24597.016666666666,0,36,42,65,57,494.7438819979886,True
1741696080,2695,14579.816666666668,0,46,54,151,142,324.5970315398887,True
1741696140,15820,289849.8,0,38,38,91,91,1099.3039190897598,True
1741696200,200,390.6,0,15,16,22,21,117.18,True
1741696260,529,2957.1833333333334,0,14,14,31,31,335.4083175803403,True
1741696320,194,1046.9333333333334,0,9,10,10,9,323.7938144329897,True
1741696380,277,557.9166666666666,0,18,22,26,21,120.84837545126354,True
1741696440,152,460.21666666666664,0,9,8,11,12,181.66447368421052,True
1741696500,259,900.1666666666666,0,10,10,18,18,208.53281853281854,True
1741696560,9667,105227.91666666667,0,30,31,106,100,653.1162718526947,True
1741696620,84854,1478167.4166666667,0,37,39,111,109,1045.2075918636717,True
1741696680,11388,163767.71666666667,0,44,47,168,164,862.8436073059361,True
1741696740,916,6989.566666666667,0,18,17,26,28,457.83187772925766,True
1741696800,224,844.1,0,13,14,22,20,226.09821428571428,True
1741696860,154,1124.3333333333333,0,10,12,16,13,438.05194805194805,True
1741696920,1289,13181.583333333334,0,29,33,58,52,613.5725368502715,True
1741696980,323,1434.3333333333333,0,11,11,16,17,266.4396284829721,True
1741697040,360,1065.4833333333333,0,13,14,19,19,177.58055555555555,True
1741697100,114,520.2166666666667,0,7,7,12,12,273.79824561403507,True
1741697160,555,2791.9,0,17,17,32,32,301.82702702702704,True
1741697220,247,1052.8,0,12,12,43,43,255.7408906882591,True
1741697280,25,29.883333333333333,0,5,5,5,5,71.72,True
1741697340,37,99.58333333333333,0,6,6,7,8,161.48648648648648,True
1741697400,850,8556.283333333333,0,14,17,25,26,603.9729411764706,True
1741697460,1113,9977.033333333333,0,22,23,41,41,537.8454627133873,True
1741697520,2249,22571.85,0,30,31,75,75,602.1836371720765,True
1741697580,1590,18591.083333333332,0,17,17,25,25,701.5503144654089,True
1741697640,2404,28682.75,0,13,14,23,22,715.8756239600666,True
1741697700,700,5572.966666666666,0,17,18,38,38,477.68285714285713,True
1741697760,410,1803.9833333333333,0,20,25,36,29,263.99756097560976,True
1741697820,110,222.8,0,10,9,12,13,121.52727272727273,True
1741697880,4470,54147.066666666666,0,19,19,64,57,726.8062639821029,True
1741697940,6326,78329.71666666666,0,40,40,143,145,742.9312361681948,True
1741698000,272,801.9,0,15,15,20,20,176.88970588235293,True
1741698060,2155,16789.833333333332,0,29,30,51,48,467.4663573085847,True
1741698120,521,6119.25,0,15,16,21,21,704.7120921305183,True
1741698180,4044,46372.03333333333,0,20,28,81,72,688.0123639960435,True
1741698240,4555,57622.3,0,37,39,88,86,759.0204171240396,True
1741698300,534,2871.75,0,25,26,56,56,322.6685393258427,True
1741698360,906,7729.783333333334,0,24,25,39,38,511.90618101545255,True
1741698420,607,4587.916666666667,0,17,18,25,19,453.500823723229,True
1741698480,462,3435.8333333333335,0,24,27,43,37,446.2121212121212,True
1741698540,118,405.4166666666667,0,10,10,13,14,206.14406779661016,True
1741698600,301,1384.65,0,12,12,28,26,276.00996677740864,True
1741698660,726,4982.116666666667,0,19,19,40,39,411.74517906336087,True
1741698720,1052,9826.966666666667,0,18,20,36,36,560.4733840304183,True
1741698780,2988,30903.033333333333,0,32,32,85,85,620.5428380187416,True
1741698840,403,3074.25,0,17,19,31,29,457.7047146401985,True
1741698900,301,811.1333333333333,0,18,20,28,25,161.68770764119603,True
1741698960,1027,7941.333333333333,0,23,26,37,33,463.95326192794545,True
1741699020,300,1498.6333333333334,0,21,24,34,31,299.7266666666667,True
1741699080,341,1177.6333333333334,0,19,18,48,48,207.20821114369502,True
1741699140,72,442.1666666666667,0,11,12,12,11,368.47222222222223,True
1742723700,217,1032.5666666666666,0,13,17,26,17,285.50230414746545,False
1742723760,430,1201.0333333333333,0,11,12,21,21,167.5860465116279,False
1742723820,2481,26189.333333333332,0,23,24,62,46,633.3575171301894,False
1742723880,5651,39079.63333333333,0,29,31,156,140,414.9315165457441,False
1742723940,2371,26778.0,0,21,24,37,30,677.6381273724166,False
1742724000,1187,4893.783333333334,0,13,15,43,40,247.36899747262004,False
1742724060,577,3018.5333333333333,0,17,19,25,23,313.88561525129984,False
1742724120,479,1529.9833333333333,0,14,15,28,27,191.64718162839247,False
1742724180,1751,14024.216666666667,0,26,28,72,55,480.5556824671616,False
1742724240,277,1325.4333333333334,0,9,10,17,15,287.09747292418774,False
1742724300,308,1173.9,0,15,17,25,20,228.6818181818182,False
1742724360,1091,3028.883333333333,0,18,21,64,58,166.57470210815765,False
1742724420,454,1810.2,0,20,20,31,28,239.23348017621146,False
1742724480,290,1670.5,0,9,11,21,17,345.62068965517244,False
1742724540,173,270.8,0,8,9,16,16,93.91907514450867,False
1742724600,226,686.8166666666667,0,9,9,20,18,182.34070796460176,False
1742724660,320,888.25,0,13,14,28,25,166.546875,False
1742724720,114,1017.3833333333333,0,8,9,12,10,535.4649122807018,False
1742724780,2099,13135.466666666667,0,14,16,98,93,375.477846593616,False
1742724840,552,3522.1666666666665,0,19,20,34,28,382.84420289855075,False
1742724900,56221,1020587.9333333333,0,49,53,204,141,1089.1886661567742,False
1742724960,45406,856195.15,0,26,28,59,48,1131.3859181605956,False
1742725020,58339,1054078.9,0,19,18,29,24,1084.090128387528,False
1742725080,79463,1436169.4833333334,0,21,23,52,46,1084.4061890439575,False
1742725140,46758,853150.8,0,30,33,48,40,1094.7655588348518,False
1742725200,94075,1707742.3,0,18,21,49,46,1089.1792505979272,False
1742725260,28439,518927.4666666667,0,14,15,19,18,1094.8221808080452,False
1742725320,16450,292739.85,0,14,18,41,37,1067.744133738602,False
1742725380,13544,249978.15,0,11,13,16,14,1107.4046810395748,False
1742725440,34683,680694.8833333333,0,15,18,44,38,1177.5709425366895,False
1742725500,20699,378376.15,0,12,13,16,14,1096.7954490555098,False
1742725560,20305,361031.81666666665,0,16,19,36,35,1066.826348190101,False
1742725620,1270,9231.033333333333,0,18,18,81,72,436.11181102362207,False
1742725680,4753,32155.2,0,31,33,276,224,405.9145802650957,False
1742725740,17079,303029.11666666664,0,25,25,79,72,1064.5674219802097,False
1742725800,32164,549208.6833333333,0,21,22,118,110,1024.515638602164,False
1742725860,53747,999710.2166666667,0,54,54,219,159,1116.0178800677247,False
1742725920,25928,465550.8,0,19,24,90,81,1077.3313792039494,False
1742725980,39150,676189.85,0,38,42,153,125,1036.3062835249043,False
1742726040,54189,980750.55,0,21,23,105,85,1085.9221059624647,False
1742726100,17205,296959.48333333334,0,24,35,99,84,1035.6041267073524,False
1742726160,18097,315121.7,0,19,22,85,82,1044.7754876498868,False
1742726220,9150,147312.95,0,38,40,77,61,965.9865573770492,False
1742726280,20998,358545.55,0,23,25,72,52,1024.513429850462,False
1742726340,311,3140.0666666666666,0,11,12,16,15,605.8006430868168,False
1742726400,11248,201959.31666666668,0,21,23,65,62,1077.3078769559033,False
1742726460,13724,228961.75,0,22,24,41,36,1000.9986155639755,False
1742726520,10757,154227.0,0,32,32,94,69,860.2417030770661,False
1742726580,12185,196688.01666666666,0,18,20,98,93,968.5089043906443,False
1742726640,6110,95503.3,0,25,27,54,47,937.8392798690671,False
1742726700,7964,132328.15,0,26,31,70,56,996.947388247112,False
1742726760,1667,12653.9,0,28,33,88,61,455.4493101379724,False
1742726820,445,3184.133333333333,0,14,15,27,24,429.3213483146067,False
1742726880,1416,10597.716666666667,0,27,27,71,57,449.055790960452,False
1742726940,7758,90117.95,0,22,25,100,68,696.9679040989946,False
1742727000,2967,30581.566666666666,0,23,24,38,34,618.4341085271318,False
1742727060,5376,48228.916666666664,0,18,20,43,35,538.2691592261905,False
1742727120,11788,151483.15,0,39,43,136,98,771.0374109263659,False
1742727180,3329,38396.63333333333,0,25,29,73,63,692.0390507659957,False
1742727240,3381,44030.03333333333,0,31,33,65,59,781.3670511682934,False
1742727300,120,1062.9,0,11,12,12,13,531.45,False
